,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
0,CJ Abrams,21,TOT,NL,90,302,284,33,70,12,2,2,21,7,4,5,50,0.246,0.28,0.324,0.604,76,92,5,9,2,2,0
1,CJ Abrams,21,WSN,NL,44,163,159,17,41,7,2,0,10,6,2,1,23,0.258,0.276,0.327,0.603,75,52,1,3,0,0,0
2,José Abreu,35,CHW,AL,157,679,601,85,183,40,0,15,75,0,0,62,110,0.304,0.378,0.446,0.824,133,268,19,12,0,4,2
3,Ronald Acuna Jr.,24,ATL,NL,119,533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,114,193,8,10,0,3,4
4,Willy Adames,26,MIL,NL,139,617,563,83,134,31,0,31,98,8,3,49,166,0.238,0.298,0.458,0.756,112,258,11,1,0,4,3
5,Jesús Aguilar,32,TOT,MLB,129,507,464,39,109,19,0,16,51,1,0,28,119,0.235,0.281,0.379,0.661,86,176,8,4,0,5,1
6,Jesús Aguilar,32,MIA,NL,113,456,415,37,98,18,0,15,49,1,0,27,106,0.236,0.286,0.388,0.674,89,161,8,4,0,5,1
7,Ozzie Albies#,25,ATL,NL,64,269,247,36,61,16,0,8,35,3,5,16,47,0.247,0.294,0.409,0.703,95,101,0,2,0,4,0
8,Jorge Alfaro,29,SDP,NL,82,274,256,25,63,14,0,7,40,1,0,11,98,0.246,0.285,0.383,0.667,94,98,5,4,0,3,0
9,Albert Almora,28,CIN,NL,64,235,215,26,48,10,1,5,29,3,2,17,46,0.223,0.282,0.349,0.631,71,75,9,1,1,1,0
10,Pete Alonso,27,NYM,NL,160,685,597,95,162,27,0,40,131,5,1,67,128,0.271,0.352,0.518,0.869,146,309,17,12,0,9,16
11,Jose Altuve,32,HOU,AL,141,604,527,103,158,39,0,28,57,18,1,66,87,0.3,0.387,0.533,0.921,160,281,13,10,0,1,2
12,Yordan Alvarez,25,HOU,AL,135,561,470,95,144,29,2,37,97,1,1,78,106,0.306,0.406,0.613,1.019,187,288,12,6,0,7,9
13,Brian Anderson,29,MIA,NL,98,383,338,43,75,16,1,8,28,1,0,37,101,0.222,0.311,0.346,0.657,87,117,7,7,0,1,2
14,Tim Anderson,29,CHW,AL,79,351,332,50,100,13,0,6,25,13,0,14,55,0.301,0.339,0.395,0.734,108,131,10,5,0,0,1
15,Elvis Andrus,33,TOT,AL,149,577,535,66,133,32,0,17,58,18,4,39,92,0.249,0.303,0.404,0.707,103,216,11,3,0,0,0
16,Elvis Andrus,33,OAK,AL,106,386,354,41,84,24,0,8,30,7,4,30,62,0.237,0.301,0.373,0.673,96,132,10,2,0,0,0
17,Elvis Andrus,33,CHW,AL,43,191,181,25,49,8,0,9,28,11,0,9,30,0.271,0.309,0.464,0.773,116,84,1,1,0,0,0
18,Aristides Aquino,28,CIN,NL,80,276,259,24,51,13,0,10,30,2,3,17,101,0.197,0.246,0.363,0.609,63,94,1,0,0,0,0
19,Orlando Arcia,27,ATL,NL,67,234,209,25,51,9,0,9,30,0,0,21,51,0.244,0.316,0.416,0.733,104,87,7,2,0,2,0
20,Nolan Arenado,31,STL,NL,148,620,557,73,163,42,1,30,103,5,3,52,72,0.293,0.358,0.533,0.891,154,297,15,7,0,4,3
21,Randy Arozarena,27,TBR,AL,153,645,586,72,154,41,3,20,89,32,12,46,156,0.263,0.327,0.445,0.773,124,261,17,11,0,2,2
22,Luis Arraez,25,MIN,AL,144,603,547,88,173,31,1,8,49,4,4,50,43,0.316,0.375,0.42,0.795,130,230,6,3,0,3,2
23,Christian Arroyo,27,BOS,AL,87,300,280,32,80,16,1,6,36,5,1,13,49,0.286,0.322,0.414,0.736,103,116,7,3,2,2,2
24,Harrison Bader,28,TOT,MLB,86,313,292,38,73,10,3,5,30,17,3,15,62,0.25,0.294,0.356,0.65,87,104,4,4,0,2,0
25,Harrison Bader,28,STL,NL,72,264,246,35,63,7,3,5,21,15,2,13,47,0.256,0.303,0.37,0.673,94,91,4,4,0,1,0
26,Javier Báez,29,DET,AL,144,590,555,64,132,27,4,17,67,9,2,26,147,0.238,0.278,0.393,0.671,93,218,13,6,0,3,1
27,Jose Barrero,24,CIN,NL,48,174,165,13,25,3,0,2,10,4,1,9,76,0.152,0.195,0.206,0.401,10,34,4,0,0,0,0
28,Josh Bell#,29,TOT,NL,156,647,552,78,147,29,3,17,71,0,1,81,102,0.266,0.362,0.422,0.784,128,233,22,5,0,6,4
29,Josh Bell#,29,WSN,NL,103,437,375,52,113,24,3,14,57,0,1,49,61,0.301,0.384,0.493,0.877,153,185,19,5,0,6,4
30,Josh Bell#,29,SDP,NL,53,210,177,26,34,5,0,3,14,0,0,32,41,0.192,0.316,0.271,0.587,75,48,3,0,0,0,0
31,Cody Bellinger,26,LAD,NL,144,550,504,70,106,27,3,19,68,14,3,38,150,0.21,0.265,0.389,0.654,78,196,7,2,0,6,0
32,Brandon Belt,34,SFG,NL,78,298,254,25,54,9,1,8,23,1,0,37,81,0.213,0.326,0.35,0.676,92,89,9,6,0,1,2
33,Andrew Benintendi,27,TOT,AL,126,521,461,54,140,23,3,5,51,8,3,52,77,0.304,0.373,0.399,0.772,120,184,7,2,1,5,0
34,Andrew Benintendi,27,KCR,AL,93,390,347,40,111,14,2,3,39,4,2,39,52,0.32,0.387,0.398,0.785,124,138,6,1,0,3,0
35,Jon Berti,32,MIA,NL,102,404,358,47,86,17,3,4,28,41,5,42,89,0.24,0.324,0.338,0.662,89,121,6,3,0,1,0
36,Christian Bethancourt,30,TOT,AL,100,333,318,39,80,17,0,11,34,5,1,12,80,0.252,0.283,0.409,0.692,100,130,6,2,1,0,0
37,Mookie Betts,29,LAD,NL,142,639,572,117,154,40,3,35,82,12,2,55,104,0.269,0.34,0.533,0.873,136,305,8,8,0,4,0
38,Bo Bichette,24,TOR,AL,159,697,652,91,189,43,1,24,93,13,8,41,155,0.29,0.333,0.469,0.802,127,306,21,2,0,2,0
39,Charlie Blackmon,35,COL,NL,135,577,530,60,140,22,6,16,78,4,1,32,109,0.264,0.314,0.419,0.733,95,222,10,8,4,3,4
40,JJ Bleday,24,MIA,NL,65,238,204,21,34,10,2,5,16,4,1,30,67,0.167,0.277,0.309,0.586,67,63,5,2,0,2,0
41,Xander Bogaerts,29,BOS,AL,150,631,557,84,171,38,0,15,73,8,2,57,118,0.307,0.377,0.456,0.833,131,254,14,10,0,7,2
42,Alec Bohm,25,PHI,NL,152,631,586,79,164,24,3,13,72,2,3,31,110,0.28,0.315,0.398,0.713,100,233,18,4,0,10,1
43,Michael Brantley,35,HOU,AL,64,277,243,28,70,14,1,5,26,1,1,31,30,0.288,0.37,0.416,0.785,125,101,1,1,1,1,2
44,Alex Bregman,28,HOU,AL,155,656,548,93,142,38,0,23,93,1,2,87,77,0.259,0.366,0.454,0.82,133,249,18,11,0,10,1
45,Seth Brown,29,OAK,AL,150,555,500,55,115,26,3,25,73,11,2,51,146,0.23,0.305,0.444,0.749,116,222,7,3,0,1,3
46,Kris Bryant,30,COL,NL,42,181,160,28,49,12,0,5,14,0,0,17,27,0.306,0.376,0.475,0.851,127,76,7,2,0,2,0
47,Jake Burger,26,CHW,AL,51,183,168,20,42,9,1,8,26,0,0,10,56,0.25,0.302,0.458,0.761,112,77,7,3,1,1,1
48,Byron Buxton,28,MIN,AL,92,382,340,61,76,13,3,28,51,6,0,34,116,0.224,0.306,0.526,0.833,135,179,0,7,0,1,0
49,Miguel Cabrera,39,DET,AL,112,433,397,25,101,10,0,5,43,1,0,28,101,0.254,0.305,0.317,0.622,83,126,11,3,0,5,3
50,Oswaldo Cabrera#,23,NYY,AL,44,171,154,21,38,8,1,6,19,3,2,15,44,0.247,0.312,0.429,0.74,109,66,1,0,1,1,0
51,Kole Calhoun,34,TEX,AL,125,424,388,36,76,14,1,12,49,3,2,27,136,0.196,0.257,0.33,0.587,67,128,6,6,0,3,0
52,Jeimer Candelario#,28,DET,AL,124,467,429,49,93,19,2,13,50,0,1,28,109,0.217,0.272,0.361,0.633,83,155,9,6,0,4,1
53,Mark Canha,33,NYM,NL,140,542,462,71,123,24,0,13,61,3,1,48,97,0.266,0.367,0.403,0.77,122,186,3,28,0,4,1
54,Dylan Carlson#,23,STL,NL,128,488,432,56,102,30,4,8,42,5,2,45,94,0.236,0.316,0.38,0.695,100,164,6,7,0,4,1
55,Nick Castellanos,30,PHI,NL,136,558,524,56,138,27,0,13,62,7,1,29,130,0.263,0.305,0.389,0.694,95,204,15,3,0,2,0
56,Harold Castro,28,DET,AL,120,443,420,37,114,21,2,7,47,0,1,17,79,0.271,0.3,0.381,0.681,98,160,5,1,3,2,1
57,Rodolfo Castro#,23,PIT,NL,71,278,253,25,59,8,4,11,27,5,3,22,74,0.233,0.299,0.427,0.725,102,108,6,2,0,1,0
58,Willi Castro#,25,DET,AL,112,392,365,47,88,18,2,8,31,9,4,15,82,0.241,0.284,0.367,0.651,89,134,4,8,1,3,0
59,Matt Chapman,29,TOR,AL,155,621,538,83,123,27,1,27,76,2,2,68,170,0.229,0.324,0.433,0.757,115,233,7,10,0,5,1
60,Michael Chavis,26,PIT,NL,129,426,401,39,92,16,3,14,49,1,1,19,126,0.229,0.265,0.389,0.654,82,156,4,2,0,4,1
61,Jazz Chisholm Jr.,24,MIA,NL,60,241,213,39,54,10,4,14,45,12,5,21,66,0.254,0.325,0.535,0.86,139,114,0,3,0,3,0
62,Ji-Man Choi,31,TBR,AL,113,419,356,36,83,22,0,11,52,0,0,58,123,0.233,0.341,0.388,0.729,114,138,3,2,0,3,3
63,William Contreras,24,ATL,NL,97,376,334,51,93,14,1,20,45,2,0,39,104,0.278,0.354,0.506,0.86,138,169,5,1,0,2,1
64,Willson Contreras,30,CHC,NL,113,487,416,65,101,23,2,22,55,4,2,45,103,0.243,0.349,0.466,0.815,128,194,14,24,0,2,0
65,Garrett Cooper,31,MIA,NL,119,469,414,37,108,33,2,9,50,0,0,40,119,0.261,0.337,0.415,0.752,113,172,6,10,0,5,0
66,Carlos Correa,27,MIN,AL,136,590,522,70,152,24,1,22,64,0,1,61,121,0.291,0.366,0.467,0.834,140,244,18,3,0,4,2
